"YEAR","STATE","RETURNSCOUNT","NUM_BUS_INCOME","SAL&WAGES","UNEMP_COMP_Count","UNEMP_COMP$","NUM_RE_TAXES","AGI","PERC_BUSINESS_RETURN","UNEMP_COMP_PR","PERC_RE","AGI_PR"
2011,"MA",6416134.0075,943097.0312,341816419.009,648770.0611,5846885.0611,2290362.0143,488652113.0074,14.6988362477714,911.278513551215,35.6969167355721,76159.8982247255
2011,"MD",5603110.0138,913348.0491,291478540.0154,365057.0909,2520901.0909,2221218.0272,393792284.0137,16.3007338219399,449.911046667159,39.6425917343997,70281.0194773656
2011,"ME",1245336.0384,211313.0821,44331181.0409,111482.1204,620610.1204,364381.0694,61731708.0384,16.9683583855402,498.347515259701,29.2596582901555,49570.3216922177
2011,"MI",9200734.0529,1338843.1358,337811066.056,1025859.1662,6552477.1662,2583499.0896,475822747.0529,14.55148174159,712.168956142658,28.0792714444963,51715.7374962843
2011,"MN",5128224.0658,752940.1663,232319531.0707,473860.2199,3069169.2199,1862553.1354,319426371.0657,14.6822790236749,598.48578777363,36.3196520179631,62287.9123390779
2011,"MO",5367060.1094,785858.2209,200578214.114,486628.284,2445636.284,1465907.2159,280738853.1094,14.6422474293446,455.675217744749,27.3130389080714,52307.7527337
2011,"MS",2531718.0353,417867.0776,79422825.0367,175528.1137,808011.1137,482438.0718,107300909.0353,16.5052771190803,319.155254429529,19.0557583851486,42382.6459104816
2011,"MT",937692.0331,153842.0653,30030004.0353,92567.0866,431875.0866,261078.0629,45548995.0331,16.4064596764675,460.572417547609,27.8426235569986,48575.6446948957
2011,"NC",8461080.0393,1336209.0996,320211171.0423,809183.1564,5603119.1564,2575008.0603,437542116.0392,15.7924176747363,662.222686746213,30.4335622442952,51712.3244322126
2011,"ND",678006.0427,97251.1075,26729835.0466,34704.1422,161855.1422,117800.1295,41655140.0427,14.3436933264961,238.722270904032,17.3744955178996,61437.7120841256
2011,"NE",1709620.0625,248926.1444,66763357.0657,100990.2165,454534.2165,467553.1565,93632180.0624,14.5603195622302,265.868555517141,27.3483662689528,54767.8294822304
2011,"NH",1335880.01,201748.0326,62052146.0112,99844.0638,617852.0638,446322.0193,84424488.0099,15.1022570208233,462.505658573332,33.4103374523884,63197.6580066499
2011,"NJ",8516388.0072,1190712.0347,469848875.0084,1140180.0476,10831443.0476,3266908.0132,641848558.0072,13.9814206878942,1271.83531779468,38.3602533191074,75366.2887910418
2011,"NM",1794244.0277,253678.0541,59556641.0285,135435.0748,999288.0748,406738.0562,85278883.0276,14.1384365885383,556.94100655916,22.6690489097733,47529.1441470852
2011,"NV",2539236.0052,341268.0157,94073145.0061,303422.0225,2486032.0225,614969.0111,140964992.0052,13.4397911419471,979.047247837127,24.2186630088983,55514.7263651442
2011,"NY",18449550.0945,3058354.2546,894447214.1009,1708211.3408,11985632.3408,4972359.1816,1317149730.0945,16.5768500529003,649.643610787725,26.9511134750235,71391.9701753137
2011,"OH",10873958.0596,1465972.1494,405151827.0637,822694.2216,5484595.2216,2996458.1155,559026652.0596,13.4814953429563,504.3789199424,27.5562780275265,51409.6752070942
2011,"OK",3184762.053,519377.1227,118429101.058,173683.2011,982650.2011,724137.1293,171021778.053,16.3081923878977,308.547447108131,22.7375583245811,53700.0175230988
2011,"OR",3443918.0294,512159.0686,128856859.0327,470612.0813,3178967.0813,1212541.045,186725865.0294,14.8714070494073,923.066999319331,35.2081854053666,54219.021311007
2011,"PA",12200724.0924,1517340.2433,504109019.0977,1503091.2685,11299410.2685,3433647.1982,700255410.0924,12.4364769812734,926.126202258648,28.142978828108,57394.5779602211
2011,"RI",1012598.0014,138118.0053,41895882.0015,134058.0089,1118032.0089,338734.0027,58674403.0014,13.639964241391,1104.1222749346,33.4519722764288,57944.419128102
2011,"SC",4118728.0238,607271.0605,140962817.0253,350632.0917,2014958.0917,1104202.0397,197302576.0238,14.7441408364644,489.218535445069,26.8092972713757,47903.7641921706
2011,"SD",805948.0454,118917.0958,27129357.0478,35902.1427,223971.1427,137811.1201,42086162.0454,14.7549332092468,277.897742885946,17.0992560732129,52219.4479974354
2011,"TN",5716028.0447,977228.1004,209168753.0478,461675.1464,2593991.1464,1199249.0994,283609514.0447,17.0962789678071,453.810080376564,20.9804621324761,49616.536487722
2011,"TX",22458490.0842,4202986.2099,964129456.0954,1346404.425,9562628.425,4850339.229,1339092433.0842,18.7144647487094,425.791243718896,21.5969070530361,59625.220932652
2011,"UT",2281738.0131,346568.033,93301868.0133,156170.0504,869476.0504,804007.0234,125775613.0131,15.1887741278916,381.058669053209,35.2366055517331,55122.7232447338
2011,"VA",7502634.058,1063171.1574,375062679.0611,388121.2379,2121257.2379,2646649.1112,508835956.0579,14.1706385941395,282.734999668299,35.2762655187467,67820.9748901897
2011,"VT",627438.0249,112779.0568,23122270.0267,60695.0838,288405.0838,178325.0484,33074602.0249,17.9745333123498,459.655093179865,28.421141423238,52713.7354006738
2011,"WA",6321794.0282,831138.079,289985900.03,701870.1016,5421642.1016,2040563.0587,405272878.0281,13.1471869423852,857.611316884948,32.2782275031034,64107.2575633239
2011,"WI",5460890.0448,667551.1177,216931139.0478,725656.1358,3640078.1358,1829612.0726,297755808.0447,12.2242182542324,666.572318053936,33.5039170829342,54525.1425320733
2011,"WV",1565048.0672,182409.178,54274920.0694,135190.1882,725670.1882,258380.1816,73834100.0671,11.6551805546998,463.67278003051,16.5094086894253,47176.8897163621
